Parameter_name	NWIS_parameter_code	CASRN	Analyzing_laboratory	Common_primary_use_group	Method	Method_of_quantitation	Detection_limit	Reporting_limit	Units_of_measurement	Method_citation
"1,1-Dichloroethylene"	34501	75-35-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
"trans-1,2-Dichloroethylene"	34546	156-60-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
Trichloroethylene	39180	79-01-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
"1,1-Difluoroethane (HFC-152a)"	49538	75-37-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)"	62174	306-83-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
"cis-1,2-Dichloroethene"	77093	156-59-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.012	0.025	ug/L	"Rose and others, 2016"
Dichlorofluoromethane (HCFC-21)	77119	75-43-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.008	0.025	ug/L	"Rose and others, 2016"
Benzene	34030	71-43-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.013	0.026	ug/L	"Rose and others, 2016"
Chlorobenzene	34301	108-90-7	NWQL	Volatile organic compound	GC/MS	RLDQC	0.013	0.026	ug/L	"Rose and others, 2016"
"1,4-Dichlorobenzene"	34571	106-46-7	NWQL	Volatile organic compound	GC/MS	RLDQC	0.013	0.026	ug/L	"Rose and others, 2016"
"1,2-Dichlorobenzene"	34536	95-50-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.014	0.028	ug/L	"Rose and others, 2016"
2-Methylpropyl acetate	77201	110-19-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.014	0.028	ug/L	"Rose and others, 2016"
Trichloromethane	32106	67-66-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.015	0.03	ug/L	"Rose and others, 2016"
"1,1,1-Trichloroethane"	34506	71-55-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.015	0.03	ug/L	"Rose and others, 2016"
"1,2-Dichlorotetrafluoroethane (CFC-114)"	50985	76-14-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.015	0.03	ug/L	"Rose and others, 2016"
Propyl acetate	45022	109-60-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.016	0.032	ug/L	"Rose and others, 2016"
o-Xylene	77135	95-47-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.016	0.032	ug/L	"Rose and others, 2016"
"1,2,4-Trimethylbenzene"	77222	95-63-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.016	0.032	ug/L	"Rose and others, 2016"
"2,6-Dimethyl-4-heptanone"	77419	108-83-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.016	0.032	ug/L	"Rose and others, 2016"
Bromodichloromethane (CHBrCl2)	32101	75-27-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.017	0.034	ug/L	"Rose and others, 2016"
sec-Butylbenzene	77350	135-98-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.017	0.034	ug/L	"Rose and others, 2016"
Ethylbenzene	34371	100-41-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.018	0.036	ug/L	"Rose and others, 2016"
n-Propylbenzene	77224	103-65-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.018	0.036	ug/L	"Rose and others, 2016"
Dichloromethane	34423	75-09-2	NWQL	Volatile organic compound	GC/MS	MRL	--	0.04	ug/L	"Rose and others, 2016"
Chlorodifluoromethane (HCFC-22)	45028	75-45-6	NWQL	Volatile organic compound	GC/MS	MRL	--	0.04	ug/L	"Rose and others, 2016"
"1,1,1,2-Tetrachloroethane"	77562	630-20-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.02	0.04	ug/L	"Rose and others, 2016"
Styrene	77128	100-42-5	NWQL	Volatile organic compound	GC/MS	MRL	--	0.042	ug/L	"Rose and others, 2016"
"1,1-Dichloroethane"	34496	75-34-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.022	0.044	ug/L	"Rose and others, 2016"
Dimethoxymethane	81578	109-87-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.022	0.044	ug/L	"Rose and others, 2016"
"1,1,2-Trichloroethane"	34511	79-00-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.023	0.046	ug/L	"Rose and others, 2016"
n-Pentanal	77061	110-62-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.027	0.054	ug/L	"Rose and others, 2016"
Tetrachloroethylene	34475	127-18-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.029	0.058	ug/L	"Rose and others, 2016"
Tetrachloromethane	32102	56-23-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.03	0.06	ug/L	"Rose and others, 2016"
Vinyl chloride	39175	75-01-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.03	0.06	ug/L	"Rose and others, 2016"
Bromochloromethane	77297	74-97-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.03	0.06	ug/L	"Rose and others, 2016"
Ethyl acetate	81585	141-78-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.03	0.06	ug/L	"Rose and others, 2016"
n-Pentane	81604	109-66-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.033	0.066	ug/L	"Rose and others, 2016"
Hexane	81590	110-54-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.034	0.068	ug/L	"Rose and others, 2016"
"1-Chloro-1,1-difluoroethane (HCFC-142b)"	85668	75-68-3	NWQL	Volatile organic compound	GC/MS	MRL	--	0.08	ug/L	"Rose and others, 2016"
"1,2-Dichloroethane"	32103	107-06-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.01	0.08	ug/L	"Rose and others, 2016"
"1,2,4-Trichlorobenzene"	34551	120-82-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.04	0.08	ug/L	"Rose and others, 2016"
"1,3-Butadiene"	68726	106-99-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.04	0.08	ug/L	"Rose and others, 2016"
"1,2,3,4-Tetrahydronapthalene"	77323	119-64-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.04	0.08	ug/L	"Rose and others, 2016"
Butane	81563	106-97-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.04	0.08	ug/L	"Rose and others, 2016"
m- and p-Xylene	85795	179601-23-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.04	0.08	ug/L	"Rose and others, 2016"
"trans-1,3-Dichloropropene"	34699	10061-02-6	NWQL	Volatile organic compound	GC/MS	RLDQC	0.05	0.1	ug/L	"Rose and others, 2016"
"cis-1,3-Dichloropropene"	34704	10061-01-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.05	0.1	ug/L	"Rose and others, 2016"
Carbon disulfide	77041	75-15-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.05	0.1	ug/L	"Rose and others, 2016"
tert-Butyl methyl ether (MTBE)	78032	1634-04-4	NWQL	Volatile organic compound	GC/MS	RLDQC	0.05	0.1	ug/L	"Rose and others, 2016"
Dibromochloromethane	32105	124-48-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.02	0.12	ug/L	"Rose and others, 2016"
2-Nitropropane	77076	79-46-9	NWQL	Volatile organic compound	GC/MS	RLDQC	0.06	0.12	ug/L	"Rose and others, 2016"
Tribromomethane	32104	75-25-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.07	0.14	ug/L	"Rose and others, 2016"
Methyl acetate	77032	79-20-9	NWQL	Volatile organic compound	GC/MS	RLDQC	0.07	0.14	ug/L	"Rose and others, 2016"
Chloropicrin	77548	76-06-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.07	0.14	ug/L	"Rose and others, 2016"
Toluene	34010	108-88-3	NWQL	Volatile organic compound	GC/MS	MRL	--	0.2	ug/L	"Rose and others, 2016"
Chloromethane	34418	74-87-3	NWQL	Volatile organic compound	GC/MS	MRL	--	0.2	ug/L	"Rose and others, 2016"
Bromomethane	34413	74-83-9	NWQL	Volatile organic compound	GC/MS	RLDQC	0.1	0.2	ug/L	"Rose and others, 2016"
4-Methyl-2-pentanol	77113	108-11-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.1	0.2	ug/L	"Rose and others, 2016"
"1,4-Dioxane"	81582	123-91-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.1	0.2	ug/L	"Rose and others, 2016"
tert-Butyl alcohol	77035	75-65-0	NWQL	Volatile organic compound	GC/MS	MRL	--	0.24	ug/L	"Rose and others, 2016"
"1,1-Dichloro-2-propanone"	80336	513-88-2	NWQL	Volatile organic compound	GC/MS	RLDQC	0.12	0.24	ug/L	"Rose and others, 2016"
Naphthalene	34696	91-20-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.03	0.26	ug/L	"Rose and others, 2016"
Butanal	68732	123-72-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.19	0.38	ug/L	"Rose and others, 2016"
"1,3-Dioxolane"	81583	646-06-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.19	0.38	ug/L	"Rose and others, 2016"
1-Methoxy-4-(2-propenyl)benzene	68066	140-67-0	NWQL	Volatile organic compound	GC/MS	RLDQC	0.2	0.4	ug/L	"Rose and others, 2016"
Acetonitrile	76997	75-05-8	NWQL	Volatile organic compound	GC/MS	RLDQC	0.4	0.8	ug/L	"Rose and others, 2016"
1-Butanol	77034	71-36-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.4	0.8	ug/L	"Rose and others, 2016"
Cyclohexanone	77097	108-94-1	NWQL	Volatile organic compound	GC/MS	RLDQC	0.6	1.2	ug/L	"Rose and others, 2016"
Nitrobenzene	34447	98-95-3	NWQL	Volatile organic compound	GC/MS	RLDQC	0.7	1.4	ug/L	"Rose and others, 2016"
Isopropyl alcohol	77015	67-63-0	NWQL	Volatile organic compound	GC/MS	MRL	--	1.8	ug/L	"Rose and others, 2016"
1-Octanol	77310	111-87-5	NWQL	Volatile organic compound	GC/MS	RLDQC	0.9	1.8	ug/L	"Rose and others, 2016"
alpha-Terpineol	68730	98-55-5	NWQL	Volatile organic compound	GC/MS	RLDQC	1.1	2.2	ug/L	"Rose and others, 2016"
Isophorone	34408	78-59-1	NWQL	Volatile organic compound	GC/MS	RLDQC	1.2	2.4	ug/L	"Rose and others, 2016"
Crotonaldehyde	68733	123-73-9	NWQL	Volatile organic compound	GC/MS	RLDQC	1.3	2.6	ug/L	"Rose and others, 2016"
2-Ethyl-1-hexanol	77311	104-76-7	NWQL	Volatile organic compound	GC/MS	MRL	--	4.4	ug/L	"Rose and others, 2016"
N-Nitrosodiethylamine	78200	55-18-5	NWQL	Volatile organic compound	GC/MS	RLDQC	1.3	5.2	ug/L	"Rose and others, 2016"
2-Ethoxyethyl acetate	68728	111-15-9	NWQL	Volatile organic compound	GC/MS	RLDQC	2.7	5.4	ug/L	"Rose and others, 2016"
2-Propen-1-ol	68729	107-18-6	NWQL	Volatile organic compound	GC/MS	RLDQC	3.9	7.8	ug/L	"Rose and others, 2016"
Hexachlorocyclopentadiene	34386	77-47-4	NWQL	Volatile organic compound	GC/MS	RLDQC	5	10	ug/L	"Rose and others, 2016"
Uranium	28011	7440-61-1	ATECL	Trace element	ICP-MS	MDL	--	0.0007	ug/L	"Roth and others, 2022"
Chromium(VI)	78247	18540-29-9	RCL	Trace element	GFAAS	LT-MDL	--	0.3	ug/L as Cr	"Ball and McCleskey, 2003"
Specific conductance at 25C	95	--	Field personnel	Field measurement	Multi-parameter sonde	--	--	5	uS/cm @ 25C	"USGS National field manual, variously dated"
										
"#Table 2. Method information for analytes sampled for the U.S. Geological Survey (USGS), Environmental Health Program, Tapwater Exposure Study, Montana, 2022."										
"#[NWIS, USGS National Water Information System; CASRN, Chemical Abstract Services Registry Number; --, information not available or not applicable; RCL, USGS Redox Chemistry Laboratory, Boulder, Colorado; ATECL, USGS Analytical Trace Element Chemistry Laboratory, Boulder, Colorado; OCRL, USGS Organic Chemistry Research Laboratory, Sacramento, California; NWQL, USGS National Water Quality Lab, Denver, CO; NIH/NIAID, National Institute of Health/National Institute of Allergy and Infectious Disease, Rocky Mountain Laboratories, Hamilton, Montana; multi-parameter sonde, meter used to measure phyical properties (water temperature, pH and specific conductance); fixed endpoint, the first derivative near pH 4.5; IC, ion chromatography; ICP-OES, inductively coupled plasma-optical emission spectroscopy; GFAAS, graphite furnace atomic absorption spectroscopy; ICP-MS, inductively coupled plasma-mass spectrometry; GC/MS, gas chromatography, mass spectrometry; LC/MS-MS, liquid chromatography/tandem mass spectrometry; ELISA, enzyme linked immunosorbent assay; MDL, method detection limit; LT-MDL, long-term method detection limit; RLDQC, reporting limit by DQCALC program; MRL, minimum reporting level; IRL, interim reporting level; uS/cm @ 25C, microsiemens per centimeter at 25 degrees Celsius; mg/L as CaCO3, milligrams per liter as calcium carbonate;  mg/L as N; milligrams per liter as nitrogen;  mg/L, milligrams per liter; ug/L as Cr, micrograms per liter as chromium; ug/L, micrograms per liter; ng/L, nanograms per liter; R2A, Reasoner's 2A agar; CFU/100mL, colony forming units per 100 milliliter; CFU/ml, colony forming units per milliliter; Coliblue24 broth, Hach Co., Loveland, Colorado; count, number of observable bacteria colonies.]"										
